,info,answer,score,generated_answer
0,113年學測-國文科第1題,A,0.0,B
1,113年學測-國文科第2題,A,1.0,A
2,113年學測-國文科第3題,C,1.0,C
3,113年學測-國文科第4題,D,0.0,C
4,113年學測-國文科第5題,D,0.0,B
5,113年學測-國文科第6題,D,1.0,D
6,113年學測-國文科第7題,C,0.0,D
7,113年學測-國文科第8題,B,1.0,B
8,113年學測-國文科第9題,B,1.0,B
9,113年學測-國文科第10題,A,0.0,D
10,113年學測-國文科第11題,C,1.0,C
11,113年學測-國文科第12題,A,1.0,A
12,113年學測-國文科第13題,C,0.0,B
13,113年學測-國文科第14題,C,0.0,A
14,113年學測-國文科第15題,D,1.0,D
15,113年學測-國文科第16題,B,0.0,A
16,113年學測-國文科第17題,B,1.0,B
17,113年學測-國文科第18題,C,1.0,C
18,113年學測-國文科第19題,A,1.0,A
19,113年學測-國文科第20題,D,0.0,B
20,113年學測-國文科第21題,B,1.0,B
21,113年學測-國文科第22題,D,0.0,C
22,113年學測-國文科第23題,D,0.0,C
23,113年學測-國文科第24題,B,1.0,B
24,113年學測-國文科第25題,ABC,0.6,ABCD
25,113年學測-國文科第26題,ACE,0.0,BC
26,113年學測-國文科第27題,BE,0.0,AD
27,113年學測-國文科第28題,ADE,1.0,ADE
28,113年學測-國文科第29題,BCE,1.0,BCE
29,113年學測-國文科第30題,AE,1.0,AE
30,113年學測-國文科第31題,CE,0.19999999999999996,AC
31,113年學測-國文科第34題,B,0.0,D
32,113年學測-國文科第35題,D,1.0,D
