,info,answer,score,generated_answer,detailed_generated_answer
0,110年學測-國文科第1題,B,0.0,A,"                           correct answer(s): (A)                           Explanation:                           In the given options, the pair with the same pronunciation in Chinese is (A) ""賿""赏众 / ""顗""志以殇. Both characters share the same initial ""zha"" (zhà) and final ""zhong"" (zhōng). The first character's middle part is different, but the pronunciation remains the same. The other options have different pronunciations."
1,110年學測-國文科第2題,A,0.0,C,"                           correct answer: (C)                           Explanation:                           (A) Contains a typo: ""persecution"" should be ""perseveration.""                           (B) Contains a typo: ""non-stop"" should be ""unceasing.""                           (C) Has no typos.                           (D) Contains a typo: ""feast"" should be ""fest."""
2,110年學測-國文科第3題,D,0.0,B,"                           correct answer: (B) 乙丙甲戊丁                           Explanation:                           The original text's meaning suggests a sequence of events or a timeline. The correct order should be: second (乙), first (丙), third (甲), fourth (戊), and fifth (丁). Therefore, the most appropriate arrangement is option (B) 乙丙甲戊丁."
3,110年學測-國文科第4題,C,0.0,D,"                           correct answer(s): (D)murmur/breathe/transfigure                           Explanation:                           The most suitable verbs for the given sequence are ""murmur,"" ""breathe,"" and ""transfigure."" The other options do not fit the context. ""Murmur"" refers to a low, soft sound, ""breathe"" is the act of inhaling and exhaling, and ""transfigure"" means to change in appearance or form in a miraculous or supernatural way."
4,110年學測-國文科第5題,B,0.0,D,"                           correct answer: (D)                           Explanation: The passage describes grandmother carrying the vast night, symbolizing her day and night labor with limited returns. This option best captures the imagery and theme of the passage."
5,110年學測-國文科第6題,C,0.0,D,"                           correct answer: (D)                           Explanation: The question asks for the author's view on ""heartburn,"" which in this context is a metaphor for past mistakes or regrets. The passage suggests that one should move forward without looking back at heartburn and inviting troubles, indicating that option (D) best reflects the author's view."
6,110年學測-國文科第7題,B,1.0,B,"                           correct answer: (B)                           Explanation:                           (A) is a possible interpretation, but it is not the most inappropriate one.                           (B) is the most inappropriate interpretation because it focuses on the monotony of life, which is not the main theme of the poem. The poem focuses on the sorrow and crookedness of both boats and heads, rather than the monotony of life.                           (C) and (D) are also possible interpretations, but they are not as inappropriate as (B)."
7,110年學測-國文科第8題,A,0.0,D,"                           correct answer: (D) critique / strategy / advocacy / rambling                           Explanation:                           The passage from Xiaoyi's book describes a writing style that attacks the strengths and weaknesses of others, debates the merits and demerits of officials, proposes the advantages and disadvantages of the country, and expresses private feelings of harmony or discord. This sequence of words best fits the description of this writing style: critique (attacking strengths and weaknesses), strategy (debating merits and demerits), advocacy (proposing advantages and disadvantages), and rambling (expressing private feelings)."
8,110年學測-國文科第9題,B,1.0,B,"                           correct answer: (B)                           Explanation:                           (A) is a judgmental sentence as it describes Mount Tai as a vast and magnificent sight.                           (B) is not expressing a judgmental meaning like ""The so-called X is Y""; it is simply stating that any unusual scenery belongs to the speaker.                           (C) is a judgmental sentence as it describes history as recording the spirit of the nation and the mirror of the crowd.                           (D) is a judgmental sentence as it describes the sounds of various states as foreign music.                           Therefore, choose (B) as the correct option."
9,110年學測-國文科第10題,C,0.0,A,"                           correct answer: (A) using ""crow"" to imply Song Kang Wang's evilness                           Explanation:                           The poem ""Urania"" (烏鵲歌) is an allegorical expression of the tragic story of Kan Yue and He Shi. In this context, the ""crow"" symbolizes Song Kang Wang's evilness, as it soars high, mocking the trellis (trap) set for Kan Yue. The other options do not accurately represent the main theme of the poem."
10,110年學測-國文科第11題,C,1.0,C,"                           correct answer: (C)                           Explanation:                           The main idea of the passage is about adapting to different situations and making appropriate decisions based on the circumstances. Option (C) best captures this idea, while options (A), (B), and (D) do not directly relate to the passage's central theme."
11,110年學測-國文科第12題,C,0.0,A,"                           correct answer: (A) Using contrast to highlight the differences in the moral character of poets                           Explanation:                           In Wang Xu's discourse, he contrasts the vulgarity of ""Rongfreeze"" with the grace of nature found in Zhang Xu's poetry. This contrast highlights the differences in the moral character of the poets."
12,110年學測-國文科第13題,A,1.0,A,"                           correct answer: (A) Jade Belt and Dragon                           Explanation:                           The poem describes a luxurious and elegant atmosphere with sandalwood perfume and chrysanthemums, which are symbols of purity and prosperity. The mention of the ""seven-jade carriage"" and the poem's focus on the family's home suggests a theme of wealth and heritage. The inscription ""Jade Belt and Dragon"" best captures this theme, as it represents wealth, power, and family tradition in Chinese culture."
